,Q3,Q4,Q5,Q6,Q7,Q10,Q12,Q14,Q16,Q18,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37
350,4,7,4,4,4,5,4,4,3,3,4,3,4,3,4,1,4,6,7,7,1,5,4,1,1
351,3,7,7,1,5,6,5,4,5,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
352,2,4,2,1,2,3,1,1,2,4,4,1,2,1,2,5,4,4,2,3,1,5,4,4,2
353,1,5,1,1,1,5,1,1,1,1,6,2,1,5,2,1,7,7,1,1,1,5,4,1,1
354,5,6,4,1,4,5,2,2,1,5,7,2,2,2,3,4,7,7,1,4,2,4,5,3,4
355,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
356,2,6,3,2,1,5,1,2,1,2,3,1,1,6,3,2,6,3,2,5,1,5,2,2,2
357,2,6,1,1,2,2,1,1,1,1,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
358,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
359,2,6,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
360,2,7,3,1,1,6,2,3,2,3,5,1,1,6,5,2,7,6,2,4,1,5,4,1,1
361,5,7,3,1,3,3,2,2,1,3,2,1,3,3,5,1,6,6,3,3,2,3,2,3,3
362,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1
363,1,7,1,1,1,1,1,1,1,6,6,5,3,2,7,1,1,1,7,3,1,3,3,3,3
364,5,7,1,1,1,5,1,1,1,4,4,4,1,1,1,1,7,7,1,7,1,5,6,1,1
365,3,6,1,1,1,1,1,1,1,5,6,1,1,5,5,1,7,7,1,7,1,7,6,1,1
366,6,6,2,1,5,7,3,1,1,5,1,5,2,4,7,1,1,1,1,1,5,5,1,1,2
367,5,6,5,2,6,6,4,5,3,2,6,3,2,6,3,2,5,2,5,6,2,6,1,5,6
368,2,7,1,1,4,3,1,2,1,5,4,1,2,7,5,1,7,7,5,5,5,5,5,2,5
369,5,5,3,2,2,5,1,1,1,3,3,2,2,3,4,2,5,5,3,5,4,5,5,3,2
370,5,7,2,4,6,5,1,5,1,5,6,2,1,7,7,1,7,7,1,1,1,4,1,1,1
371,2,5,1,1,1,5,1,1,1,5,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1
372,1,6,1,1,1,4,1,1,1,1,7,1,3,5,7,1,7,7,1,3,6,5,5,2,1
373,4,7,2,1,7,5,1,1,1,4,6,4,5,2,6,1,6,7,1,2,4,6,1,2,3
374,5,7,2,1,4,6,4,2,1,6,7,3,4,4,6,4,6,6,4,4,4,5,4,4,2
375,5,7,5,1,6,5,1,3,2,7,3,1,5,5,5,2,5,4,3,4,2,6,6,2,2
376,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,1,4,1,1,1
377,1,6,1,1,2,3,2,2,1,3,5,5,4,4,5,2,4,5,2,2,2,4,4,2,2
378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,7,1,1,7,1,1
379,4,7,1,2,1,4,2,1,1,2,6,3,5,4,6,2,7,7,2,5,3,3,2,2,2
380,2,7,1,1,1,2,1,1,1,3,1,1,1,1,1,1,7,4,1,4,1,5,4,1,1
381,3,6,3,1,6,2,2,1,2,3,3,3,1,1,4,1,1,4,1,1,1,1,1,1,1
382,5,6,1,1,3,6,1,2,6,1,3,1,1,5,3,1,7,6,3,3,2,6,3,1,1
383,4,7,3,2,2,6,2,3,1,3,6,1,2,2,5,1,7,7,7,7,1,7,6,1,1
384,5,7,2,1,4,5,1,1,1,4,4,2,4,6,4,1,7,5,2,4,5,7,5,1,4
385,3,6,5,1,5,5,2,2,2,1,4,1,5,3,5,5,7,7,3,7,3,4,3,2,2
386,2,6,1,1,1,3,1,2,1,5,6,1,1,3,3,1,6,5,1,1,1,3,3,2,1
387,4,7,4,4,4,1,1,1,1,1,4,4,4,6,7,4,7,5,5,5,4,4,4,4,3
388,4,7,4,5,3,3,2,1,2,4,2,1,1,2,5,1,6,4,2,2,2,3,4,1,2
389,4,7,1,1,2,2,1,1,1,2,4,2,2,3,6,1,7,6,5,7,3,3,7,2,3
390,3,7,5,4,5,5,2,2,1,5,5,2,2,5,6,4,7,7,1,5,3,6,4,3,2
391,3,6,1,1,2,2,1,1,1,1,7,2,2,4,4,1,7,6,2,6,5,7,5,1,5
392,1,7,1,3,1,7,2,1,1,1,7,3,4,7,7,1,7,3,1,6,4,4,4,4,4
393,5,7,7,1,7,4,1,1,1,7,1,1,1,4,5,1,7,6,3,4,5,5,4,4,3
394,1,6,4,1,2,7,1,1,1,1,6,1,3,6,6,2,7,5,2,2,2,3,3,3,3
395,5,7,5,3,2,6,5,1,1,6,7,1,3,7,4,1,1,3,1,1,3,5,3,4,4
396,2,7,3,1,3,3,5,1,2,6,7,7,2,1,5,1,5,7,2,6,2,3,4,5,1
397,5,6,1,1,1,5,1,1,1,1,6,1,1,2,5,2,2,6,4,4,1,3,2,2,2
398,5,7,1,1,7,3,1,1,1,2,5,1,1,7,6,1,7,7,2,4,2,6,6,3,1
399,5,6,3,1,4,5,4,4,4,5,6,4,4,4,5,1,7,5,4,4,4,4,4,4,4
400,4,7,7,2,1,5,1,2,1,4,5,4,4,4,4,2,7,5,4,4,4,4,5,3,1
401,4,7,3,1,1,4,4,2,2,6,7,1,2,6,6,1,4,5,4,4,3,3,4,3,1
402,2,7,2,1,3,4,2,1,1,1,1,6,1,1,1,1,5,3,2,3,2,1,3,1,1
403,1,7,1,1,7,1,1,1,1,1,7,1,1,7,7,1,7,7,7,7,7,7,7,1,7
404,5,7,6,1,4,5,3,1,3,5,2,1,1,1,5,1,4,2,1,3,2,2,1,1,1
405,3,6,4,1,2,5,1,1,1,5,6,1,2,1,5,1,7,7,2,2,2,5,6,2,1
406,5,7,5,1,6,7,1,5,1,3,6,2,1,2,5,7,7,7,2,7,1,7,7,3,2
407,6,6,7,3,6,5,3,3,2,6,5,6,2,6,7,3,6,6,6,6,3,5,2,5,2
408,6,6,5,1,6,3,1,5,1,6,6,6,5,3,6,2,2,3,6,3,2,6,3,5,2
409,5,7,2,1,1,2,2,5,2,3,3,5,5,5,6,1,5,2,3,2,3,2,2,2,1
410,6,6,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,4,3,3,1,2,2,2,1
411,3,6,4,1,2,5,3,2,1,3,3,3,2,1,2,1,6,7,1,7,3,5,2,4,2
412,2,5,1,1,1,2,1,1,1,2,2,1,1,2,6,1,7,2,1,1,1,2,1,1,1
413,4,6,2,2,3,3,1,1,1,5,5,6,5,6,6,2,5,3,5,2,3,5,3,5,3
414,4,7,5,1,3,5,3,6,5,5,6,5,4,5,5,1,5,5,5,6,5,5,5,5,2
415,4,7,7,1,1,3,5,1,1,2,7,5,5,5,5,1,3,6,1,1,2,1,1,1,1
416,3,5,2,1,3,5,1,2,1,3,6,1,2,6,6,1,7,7,1,4,3,6,3,2,2
417,4,7,5,2,2,6,1,5,3,6,6,3,4,4,5,2,6,4,2,2,4,4,4,1,1
418,2,1,1,5,4,2,3,5,5,3,4,5,5,5,5,7,3,1,5,5,1,2,3,5,5
419,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
420,5,5,5,3,3,4,2,1,2,3,6,3,4,3,4,2,3,4,2,3,5,3,4,5,2
421,4,6,1,1,1,4,1,1,2,1,3,1,1,1,2,1,7,7,1,2,2,2,4,1,1
